sample	bigwigPath	Group_label	strand
NA19184_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19184_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19190_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19190_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19198_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19198_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19200_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19200_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19201_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19201_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19206_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19206_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19207_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19207_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19209_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19209_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19210_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19210_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19213_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19213_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19214_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19214_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19225_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19225_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19236_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19236_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19247_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19247_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA19257_SteadyStateRNAseq	../code/rna_seq/bigwigs/unstranded/NA19257_SteadyStateRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.Control	.
NA18486_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18486_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18498_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18498_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18499_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18499_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18502_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18502_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18505_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18505_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18508_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18508_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18510_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18510_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18511_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18511_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18519_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18519_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18520_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18520_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18858_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18858_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18867_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18867_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18868_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18868_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18870_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18870_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18909_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18909_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18910_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18910_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18917_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18917_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18923_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18923_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA18934_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA18934_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19092_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19092_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19093_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19093_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19095_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19095_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
